"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 19 16:49:43 GMT 2025","Tue Aug 19 16:49:50 GMT 2025","7578","chromium","","Solana Vite Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"failed","Tue Aug 19 16:54:56 GMT 2025","Tue Aug 19 16:55:24 GMT 2025","27699","webkit","","Solana Next.js 15 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"passed","Tue Aug 19 16:48:49 GMT 2025","Tue Aug 19 16:48:54 GMT 2025","4838","firefox","","Express Login Tests","","","should complete login flow and redirect to hello page",""
"failed","Tue Aug 19 16:51:04 GMT 2025","Tue Aug 19 16:51:33 GMT 2025","28694","webkit","","Solana Vite Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Tue Aug 19 16:52:13 GMT 2025","Tue Aug 19 16:52:26 GMT 2025","13415","firefox","","Solana Next15 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Tue Aug 19 16:49:01 GMT 2025","Tue Aug 19 16:49:11 GMT 2025","10187","webkit","","Fastify Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Tue Aug 19 16:51:41 GMT 2025","Tue Aug 19 16:51:46 GMT 2025","4474","firefox","","Fastify Email Verification Tests","","","should complete email verification flow and redirect to hello page",""
"failed","Tue Aug 19 16:52:52 GMT 2025","Tue Aug 19 16:53:22 GMT 2025","30315","firefox","","Solana Next.js 14 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"passed","Tue Aug 19 16:52:23 GMT 2025","Tue Aug 19 16:52:44 GMT 2025","20089","firefox","","Wagmi Next.js Email Verification Tests","","","should complete email verification flow with wagmi",""
"passed","Tue Aug 19 16:50:58 GMT 2025","Tue Aug 19 16:51:09 GMT 2025","11839","firefox","","Solana Next15 Turbopack Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Tue Aug 19 16:48:56 GMT 2025","Tue Aug 19 16:49:02 GMT 2025","6062","firefox","","VanillaJS Embedded Login Tests","","","should complete full embedded login and logout flow",""
"passed","Tue Aug 19 16:51:31 GMT 2025","Tue Aug 19 16:51:44 GMT 2025","13014","firefox","","Solana Next15 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Tue Aug 19 16:51:46 GMT 2025","Tue Aug 19 16:52:05 GMT 2025","18640","webkit","","Solana Next15 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
