"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Civic Auth Applications","Hono Login","","2","0","1","0","0"
"Civic Auth Applications","Fastify Email Verification","Fastify Email Code Verification Flow with Real Email","0","0","3","0","0"
"Civic Auth Applications","Next.js Login","","0","0","3","0","0"
"Civic Auth Applications","React.js Login","","0","0","3","0","0"
"Civic Auth Applications","Next.js Login (BasePath)","","3","0","0","0","0"
"Civic Auth Applications","VanillaJS Embedded Login","","1","0","2","0","0"
"Civic Auth Applications","VanillaJS Embedded Email Verification","VanillaJS Embedded Email Code Verification Flow","3","0","0","0","0"
"Civic Auth Applications","Express Login (LoginSuccessUrl)","","1","0","2","0","0"
"Civic Auth Applications","Hono Login (LoginSuccessUrl)","","0","0","3","0","0"
"Civic Auth Applications","Hono Email Verification","Hono Email Code Verification Flow with Real Email","0","0","3","0","0"
"Civic Auth Applications","React.js Email Verification","React.js Email Code Verification Flow","0","0","3","0","0"
"Civic Auth Applications","Next.js Login (LoginSuccessUrl)","","2","1","0","0","0"
"Civic Auth Applications","Fastify Login","","0","0","3","0","0"
"Civic Auth Applications","Next.js Email Verification","Next.js Email Code Verification Flow","0","0","3","0","0"
"Civic Auth Applications","Express Email Verification","","0","0","3","0","0"
"Civic Auth Applications","Express Login","","0","0","3","0","0"
"Civic Auth Applications","Fastify Login (LoginSuccessUrl)","","0","0","3","0","0"
