"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 15 02:43:03 GMT 2025","Fri Aug 15 02:43:25 GMT 2025","21392","webkit","","Solana Next14 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Fri Aug 15 02:40:51 GMT 2025","Fri Aug 15 02:41:01 GMT 2025","9271","webkit","","Hono Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Fri Aug 15 02:42:15 GMT 2025","Fri Aug 15 02:42:28 GMT 2025","12537","webkit","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Fri Aug 15 02:42:27 GMT 2025","Fri Aug 15 02:42:39 GMT 2025","11534","webkit","","Fastify Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Fri Aug 15 02:41:56 GMT 2025","Fri Aug 15 02:42:08 GMT 2025","11400","webkit","","VanillaJS Embedded Login Tests","","","should complete full embedded login and logout flow",""
"passed","Fri Aug 15 02:42:39 GMT 2025","Fri Aug 15 02:42:56 GMT 2025","17413","webkit","","Next.js Login Tests","","","should complete full login and logout flow",""
"passed","Fri Aug 15 02:43:29 GMT 2025","Fri Aug 15 02:43:49 GMT 2025","19745","webkit","","Solana Next15 Turbopack No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Fri Aug 15 02:42:57 GMT 2025","Fri Aug 15 02:43:18 GMT 2025","21127","webkit","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Fri Aug 15 02:41:02 GMT 2025","Fri Aug 15 02:41:11 GMT 2025","9034","webkit","","Express Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Fri Aug 15 02:40:57 GMT 2025","Fri Aug 15 02:41:10 GMT 2025","13643","webkit","","Reactjs Login Tests","","","should complete full login and logout flow",""
"passed","Fri Aug 15 02:41:12 GMT 2025","Fri Aug 15 02:41:28 GMT 2025","15886","webkit","","Solana Vite No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Fri Aug 15 02:42:43 GMT 2025","Fri Aug 15 02:43:08 GMT 2025","24238","webkit","","Solana Next15 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Fri Aug 15 02:43:21 GMT 2025","Fri Aug 15 02:43:44 GMT 2025","22916","webkit","","Solana Next14 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Fri Aug 15 02:43:05 GMT 2025","Fri Aug 15 02:43:22 GMT 2025","17060","webkit","","Solana Next15 Turbopack Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"failed","Fri Aug 15 02:42:17 GMT 2025","Fri Aug 15 02:42:46 GMT 2025","28969","webkit","","Solana Vite Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Fri Aug 15 02:42:54 GMT 2025","Fri Aug 15 02:43:14 GMT 2025","19825","webkit","","Solana Next15 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
