"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 18 00:54:13 GMT 2025","Mon Aug 18 00:54:25 GMT 2025","11291","webkit","","Express Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 00:55:56 GMT 2025","Mon Aug 18 00:56:12 GMT 2025","15573","firefox","","Solana Next14 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:55:14 GMT 2025","Mon Aug 18 00:55:26 GMT 2025","12293","firefox","","Solana Next15 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:55:09 GMT 2025","Mon Aug 18 00:55:25 GMT 2025","15957","firefox","","Solana Next14 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:53:21 GMT 2025","Mon Aug 18 00:53:29 GMT 2025","8385","chromium","","Solana Vite Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:54:22 GMT 2025","Mon Aug 18 00:54:37 GMT 2025","15244","webkit","","Reactjs Login Tests","","","should complete full login and logout flow",""
"passed","Mon Aug 18 00:53:14 GMT 2025","Mon Aug 18 00:53:19 GMT 2025","5150","chromium","","VanillaJS Embedded Login Tests","","","should complete full embedded login and logout flow",""
"passed","Mon Aug 18 00:55:39 GMT 2025","Mon Aug 18 00:55:55 GMT 2025","15939","webkit","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:54:59 GMT 2025","Mon Aug 18 00:55:13 GMT 2025","13213","chromium","","Solana Next15 Turbopack No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:53:55 GMT 2025","Mon Aug 18 00:54:05 GMT 2025","10188","firefox","","Solana Vite Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:54:13 GMT 2025","Mon Aug 18 00:54:20 GMT 2025","6868","firefox","","Reactjs Login Tests","","","should complete full login and logout flow",""
"passed","Mon Aug 18 00:56:11 GMT 2025","Mon Aug 18 00:56:30 GMT 2025","18140","webkit","","Solana Next15 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:54:06 GMT 2025","Mon Aug 18 00:54:18 GMT 2025","12125","webkit","","Fastify Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 00:54:05 GMT 2025","Mon Aug 18 00:54:12 GMT 2025","6325","firefox","","Express Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 00:54:42 GMT 2025","Mon Aug 18 00:54:51 GMT 2025","8573","chromium","","Solana Vite No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:57:26 GMT 2025","Mon Aug 18 00:57:44 GMT 2025","18458","webkit","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:55:11 GMT 2025","Mon Aug 18 00:55:24 GMT 2025","13722","chromium","","Solana Next15 Turbopack Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:55:41 GMT 2025","Mon Aug 18 00:55:59 GMT 2025","18322","webkit","","Solana Next15 Turbopack Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:55:56 GMT 2025","Mon Aug 18 00:56:09 GMT 2025","13449","firefox","","Solana Next15 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:55:02 GMT 2025","Mon Aug 18 00:55:13 GMT 2025","11419","chromium","","Solana Next15 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:54:26 GMT 2025","Mon Aug 18 00:54:36 GMT 2025","10471","chromium","","Next.js Login Tests","","","should complete full login and logout flow",""
"passed","Mon Aug 18 00:53:54 GMT 2025","Mon Aug 18 00:53:58 GMT 2025","3593","chromium","","Fastify Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 00:55:21 GMT 2025","Mon Aug 18 00:55:32 GMT 2025","11085","webkit","","Next.js Login Tests","","","should complete full login and logout flow",""
"passed","Mon Aug 18 00:55:20 GMT 2025","Mon Aug 18 00:55:28 GMT 2025","8274","chromium","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:55:13 GMT 2025","Mon Aug 18 00:55:26 GMT 2025","12306","firefox","","Solana Next15 Turbopack No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:55:29 GMT 2025","Mon Aug 18 00:55:38 GMT 2025","9095","firefox","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:53:58 GMT 2025","Mon Aug 18 00:54:05 GMT 2025","6540","chromium","","Express Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 00:55:26 GMT 2025","Mon Aug 18 00:55:41 GMT 2025","15239","webkit","","Solana Next14 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:55:38 GMT 2025","Mon Aug 18 00:55:55 GMT 2025","17753","chromium","","Solana Next14 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:57:09 GMT 2025","Mon Aug 18 00:57:24 GMT 2025","14994","firefox","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:54:48 GMT 2025","Mon Aug 18 00:55:08 GMT 2025","19899","chromium","","Solana Next14 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"failed","Mon Aug 18 00:55:09 GMT 2025","Mon Aug 18 00:55:37 GMT 2025","28716","webkit","","Solana Vite Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:54:51 GMT 2025","Mon Aug 18 00:55:01 GMT 2025","9975","firefox","","Solana Vite No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:54:06 GMT 2025","Mon Aug 18 00:54:13 GMT 2025","6620","chromium","","Reactjs Login Tests","","","should complete full login and logout flow",""
"passed","Mon Aug 18 00:55:28 GMT 2025","Mon Aug 18 00:55:47 GMT 2025","18575","webkit","","Solana Next15 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:53:19 GMT 2025","Mon Aug 18 00:53:28 GMT 2025","8542","firefox","","VanillaJS Embedded Login Tests","","","should complete full embedded login and logout flow",""
"passed","Mon Aug 18 00:53:36 GMT 2025","Mon Aug 18 00:53:46 GMT 2025","9947","webkit","","Hono Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 00:55:25 GMT 2025","Mon Aug 18 00:55:39 GMT 2025","14084","firefox","","Solana Next15 Turbopack Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:55:42 GMT 2025","Mon Aug 18 00:55:55 GMT 2025","13572","chromium","","Solana Next15 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:55:28 GMT 2025","Mon Aug 18 00:55:45 GMT 2025","17219","webkit","","Solana Next15 Turbopack No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:55:03 GMT 2025","Mon Aug 18 00:55:19 GMT 2025","16413","webkit","","Solana Vite No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:54:37 GMT 2025","Mon Aug 18 00:54:47 GMT 2025","9757","firefox","","Next.js Login Tests","","","should complete full login and logout flow",""
"passed","Mon Aug 18 00:56:49 GMT 2025","Mon Aug 18 00:57:08 GMT 2025","19600","chromium","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:53:30 GMT 2025","Mon Aug 18 00:53:35 GMT 2025","4497","firefox","","Hono Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 00:53:29 GMT 2025","Mon Aug 18 00:53:39 GMT 2025","9881","webkit","","VanillaJS Embedded Login Tests","","","should complete full embedded login and logout flow",""
"passed","Mon Aug 18 00:56:13 GMT 2025","Mon Aug 18 00:56:32 GMT 2025","19199","webkit","","Solana Next14 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 00:53:25 GMT 2025","Mon Aug 18 00:53:30 GMT 2025","5019","chromium","","Hono Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 00:53:59 GMT 2025","Mon Aug 18 00:54:05 GMT 2025","6031","firefox","","Fastify Login Tests","","","should complete login flow and redirect to hello page",""
