"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 18 16:26:08 GMT 2025","Mon Aug 18 16:26:27 GMT 2025","19341","webkit","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:25:29 GMT 2025","Mon Aug 18 16:25:42 GMT 2025","12700","webkit","","Reactjs Login Tests","","","should complete full login and logout flow",""
"passed","Mon Aug 18 16:26:41 GMT 2025","Mon Aug 18 16:26:58 GMT 2025","16445","webkit","","Solana Next15 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:25:21 GMT 2025","Mon Aug 18 16:25:28 GMT 2025","6882","firefox","","Reactjs Login Tests","","","should complete full login and logout flow",""
"passed","Mon Aug 18 16:25:28 GMT 2025","Mon Aug 18 16:25:41 GMT 2025","12487","chromium","","Solana Next15 Turbopack No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:25:57 GMT 2025","Mon Aug 18 16:26:14 GMT 2025","17266","webkit","","Solana Next15 Turbopack No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:24:39 GMT 2025","Mon Aug 18 16:24:54 GMT 2025","14640","webkit","","VanillaJS Embedded Login Tests","","","should complete full embedded login and logout flow",""
"passed","Mon Aug 18 16:26:13 GMT 2025","Mon Aug 18 16:26:28 GMT 2025","14589","chromium","","Solana Next14 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:25:12 GMT 2025","Mon Aug 18 16:25:17 GMT 2025","4926","chromium","","Fastify Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 16:26:13 GMT 2025","Mon Aug 18 16:26:27 GMT 2025","13937","firefox","","Solana Next14 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:24:57 GMT 2025","Mon Aug 18 16:25:06 GMT 2025","9251","firefox","","Solana Vite Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:27:41 GMT 2025","Mon Aug 18 16:27:57 GMT 2025","15768","webkit","","Next.js Login Tests","","","should complete full login and logout flow",""
"passed","Mon Aug 18 16:24:22 GMT 2025","Mon Aug 18 16:24:33 GMT 2025","10502","firefox","","Solana Vite No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:25:14 GMT 2025","Mon Aug 18 16:25:25 GMT 2025","11454","chromium","","Solana Next15 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:25:13 GMT 2025","Mon Aug 18 16:25:18 GMT 2025","5022","firefox","","Express Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 16:26:28 GMT 2025","Mon Aug 18 16:26:44 GMT 2025","15547","firefox","","Solana Next14 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:24:49 GMT 2025","Mon Aug 18 16:24:56 GMT 2025","7195","chromium","","Solana Vite Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:25:58 GMT 2025","Mon Aug 18 16:26:12 GMT 2025","13579","chromium","","Solana Next15 Turbopack Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:25:46 GMT 2025","Mon Aug 18 16:25:54 GMT 2025","8634","chromium","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:25:07 GMT 2025","Mon Aug 18 16:25:12 GMT 2025","5227","chromium","","Express Login Tests","","","should complete login flow and redirect to hello page",""
"failed","Mon Aug 18 16:27:12 GMT 2025","Mon Aug 18 16:27:39 GMT 2025","27033","firefox","","Next.js Login Tests","","","should complete full login and logout flow",""
"passed","Mon Aug 18 16:25:15 GMT 2025","Mon Aug 18 16:25:21 GMT 2025","5641","chromium","","Reactjs Login Tests","","","should complete full login and logout flow",""
"passed","Mon Aug 18 16:24:26 GMT 2025","Mon Aug 18 16:24:31 GMT 2025","4892","chromium","","VanillaJS Embedded Login Tests","","","should complete full embedded login and logout flow",""
"passed","Mon Aug 18 16:25:59 GMT 2025","Mon Aug 18 16:26:10 GMT 2025","11162","chromium","","Next.js Login Tests","","","should complete full login and logout flow",""
"passed","Mon Aug 18 16:24:32 GMT 2025","Mon Aug 18 16:24:37 GMT 2025","5882","firefox","","VanillaJS Embedded Login Tests","","","should complete full embedded login and logout flow",""
"passed","Mon Aug 18 16:24:34 GMT 2025","Mon Aug 18 16:24:51 GMT 2025","17037","webkit","","Solana Vite No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:27:24 GMT 2025","Mon Aug 18 16:27:48 GMT 2025","23972","webkit","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:25:17 GMT 2025","Mon Aug 18 16:25:24 GMT 2025","6490","firefox","","Fastify Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 16:26:12 GMT 2025","Mon Aug 18 16:26:25 GMT 2025","12892","chromium","","Solana Next15 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:24:21 GMT 2025","Mon Aug 18 16:24:27 GMT 2025","5513","chromium","","Hono Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 16:26:25 GMT 2025","Mon Aug 18 16:26:40 GMT 2025","14794","firefox","","Solana Next15 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:24:14 GMT 2025","Mon Aug 18 16:24:21 GMT 2025","7547","chromium","","Solana Vite No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:26:12 GMT 2025","Mon Aug 18 16:26:25 GMT 2025","12919","firefox","","Solana Next15 Turbopack Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"failed","Mon Aug 18 16:26:10 GMT 2025","Mon Aug 18 16:26:38 GMT 2025","28516","webkit","","Solana Vite Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:25:54 GMT 2025","Mon Aug 18 16:26:13 GMT 2025","18740","chromium","","Solana Next14 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:26:45 GMT 2025","Mon Aug 18 16:27:03 GMT 2025","17616","webkit","","Solana Next14 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:25:55 GMT 2025","Mon Aug 18 16:26:06 GMT 2025","10817","firefox","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:24:35 GMT 2025","Mon Aug 18 16:24:42 GMT 2025","7083","webkit","","Hono Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 16:27:07 GMT 2025","Mon Aug 18 16:27:23 GMT 2025","16073","firefox","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:25:39 GMT 2025","Mon Aug 18 16:25:55 GMT 2025","15222","webkit","","Solana Next15 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:25:25 GMT 2025","Mon Aug 18 16:25:33 GMT 2025","8205","webkit","","Fastify Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 16:25:26 GMT 2025","Mon Aug 18 16:25:38 GMT 2025","12220","firefox","","Solana Next15 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:26:29 GMT 2025","Mon Aug 18 16:26:45 GMT 2025","16445","webkit","","Solana Next14 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:25:42 GMT 2025","Mon Aug 18 16:25:55 GMT 2025","13198","firefox","","Solana Next15 Turbopack No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:25:19 GMT 2025","Mon Aug 18 16:25:30 GMT 2025","10230","webkit","","Express Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 16:26:48 GMT 2025","Mon Aug 18 16:27:06 GMT 2025","17477","chromium","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 16:24:27 GMT 2025","Mon Aug 18 16:24:34 GMT 2025","6416","firefox","","Hono Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 16:26:27 GMT 2025","Mon Aug 18 16:26:45 GMT 2025","18554","webkit","","Solana Next15 Turbopack Wallet Adapter Login Tests","","","should complete login flow and show balance",""
