"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 18 01:00:46 GMT 2025","Mon Aug 18 01:00:51 GMT 2025","5029","firefox","","Fastify Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 01:00:45 GMT 2025","Mon Aug 18 01:00:52 GMT 2025","7618","firefox","","Reactjs Login Tests","","","should complete full login and logout flow",""
"passed","Mon Aug 18 01:01:42 GMT 2025","Mon Aug 18 01:01:52 GMT 2025","10738","chromium","","Next.js Login Tests","","","should complete full login and logout flow",""
"passed","Mon Aug 18 01:00:32 GMT 2025","Mon Aug 18 01:00:36 GMT 2025","4691","chromium","","VanillaJS Embedded Login Tests","","","should complete full embedded login and logout flow",""
"passed","Mon Aug 18 01:01:45 GMT 2025","Mon Aug 18 01:01:49 GMT 2025","4065","chromium","","Hono Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 01:01:39 GMT 2025","Mon Aug 18 01:01:52 GMT 2025","12378","firefox","","Solana Next15 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:00:14 GMT 2025","Mon Aug 18 01:00:18 GMT 2025","3467","chromium","","Express Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 01:02:56 GMT 2025","Mon Aug 18 01:03:12 GMT 2025","15593","firefox","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:00:41 GMT 2025","Mon Aug 18 01:00:45 GMT 2025","3946","chromium","","Fastify Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 01:03:13 GMT 2025","Mon Aug 18 01:03:32 GMT 2025","18770","webkit","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:03:17 GMT 2025","Mon Aug 18 01:03:31 GMT 2025","13921","chromium","","Solana Next15 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:01:01 GMT 2025","Mon Aug 18 01:01:11 GMT 2025","9339","chromium","","Solana Vite Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:00:24 GMT 2025","Mon Aug 18 01:00:34 GMT 2025","10181","webkit","","Express Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 01:01:33 GMT 2025","Mon Aug 18 01:01:47 GMT 2025","14532","firefox","","Solana Next14 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:02:08 GMT 2025","Mon Aug 18 01:02:23 GMT 2025","15469","webkit","","Solana Next14 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:01:25 GMT 2025","Mon Aug 18 01:01:38 GMT 2025","12514","firefox","","Solana Next15 Turbopack Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:01:15 GMT 2025","Mon Aug 18 01:01:32 GMT 2025","17303","chromium","","Solana Next14 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:01:28 GMT 2025","Mon Aug 18 01:01:38 GMT 2025","9542","firefox","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:01:46 GMT 2025","Mon Aug 18 01:02:00 GMT 2025","14227","webkit","","Solana Vite No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:00:38 GMT 2025","Mon Aug 18 01:00:44 GMT 2025","6269","chromium","","Reactjs Login Tests","","","should complete full login and logout flow",""
"passed","Mon Aug 18 01:01:33 GMT 2025","Mon Aug 18 01:01:44 GMT 2025","10876","firefox","","Solana Vite No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:01:24 GMT 2025","Mon Aug 18 01:01:33 GMT 2025","9165","chromium","","Solana Vite No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:00:54 GMT 2025","Mon Aug 18 01:01:07 GMT 2025","12524","webkit","","Reactjs Login Tests","","","should complete full login and logout flow",""
"passed","Mon Aug 18 01:00:45 GMT 2025","Mon Aug 18 01:00:58 GMT 2025","12228","webkit","","VanillaJS Embedded Login Tests","","","should complete full embedded login and logout flow",""
"passed","Mon Aug 18 01:01:39 GMT 2025","Mon Aug 18 01:01:55 GMT 2025","16150","webkit","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:00:37 GMT 2025","Mon Aug 18 01:00:44 GMT 2025","6924","firefox","","VanillaJS Embedded Login Tests","","","should complete full embedded login and logout flow",""
"passed","Mon Aug 18 01:01:56 GMT 2025","Mon Aug 18 01:02:06 GMT 2025","9920","webkit","","Hono Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 01:01:37 GMT 2025","Mon Aug 18 01:01:52 GMT 2025","15180","chromium","","Solana Next14 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:01:50 GMT 2025","Mon Aug 18 01:02:05 GMT 2025","15200","firefox","","Solana Next15 Turbopack No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:01:49 GMT 2025","Mon Aug 18 01:02:06 GMT 2025","17080","webkit","","Solana Next14 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:00:18 GMT 2025","Mon Aug 18 01:00:23 GMT 2025","4316","firefox","","Express Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 01:01:11 GMT 2025","Mon Aug 18 01:01:22 GMT 2025","11223","firefox","","Solana Vite Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:01:53 GMT 2025","Mon Aug 18 01:02:10 GMT 2025","16157","webkit","","Solana Next15 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"failed","Mon Aug 18 01:02:28 GMT 2025","Mon Aug 18 01:02:58 GMT 2025","30226","webkit","","Solana Vite Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:00:52 GMT 2025","Mon Aug 18 01:01:03 GMT 2025","10850","webkit","","Fastify Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 01:01:12 GMT 2025","Mon Aug 18 01:01:24 GMT 2025","12326","chromium","","Solana Next15 Turbopack Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:01:39 GMT 2025","Mon Aug 18 01:01:55 GMT 2025","16196","webkit","","Solana Next15 Turbopack Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:03:31 GMT 2025","Mon Aug 18 01:03:44 GMT 2025","12390","firefox","","Solana Next15 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:02:38 GMT 2025","Mon Aug 18 01:02:56 GMT 2025","17298","chromium","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:03:29 GMT 2025","Mon Aug 18 01:03:47 GMT 2025","18214","webkit","","Next.js Login Tests","","","should complete full login and logout flow",""
"passed","Mon Aug 18 01:01:53 GMT 2025","Mon Aug 18 01:02:06 GMT 2025","13772","firefox","","Solana Next14 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:01:49 GMT 2025","Mon Aug 18 01:01:54 GMT 2025","4553","firefox","","Hono Login Tests","","","should complete login flow and redirect to hello page",""
"broken","Mon Aug 18 01:02:57 GMT 2025","Mon Aug 18 01:03:28 GMT 2025","30250","firefox","","Next.js Login Tests","","","should complete full login and logout flow",""
"passed","Mon Aug 18 01:01:20 GMT 2025","Mon Aug 18 01:01:27 GMT 2025","7681","chromium","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:03:45 GMT 2025","Mon Aug 18 01:04:03 GMT 2025","17571","webkit","","Solana Next15 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:02:07 GMT 2025","Mon Aug 18 01:02:25 GMT 2025","18479","webkit","","Solana Next15 Turbopack No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:01:27 GMT 2025","Mon Aug 18 01:01:39 GMT 2025","12098","chromium","","Solana Next15 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 01:01:35 GMT 2025","Mon Aug 18 01:01:49 GMT 2025","14109","chromium","","Solana Next15 Turbopack No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
