"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 18 15:39:27 GMT 2025","Mon Aug 18 15:39:40 GMT 2025","13064","webkit","","Fastify Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 15:38:58 GMT 2025","Mon Aug 18 15:39:04 GMT 2025","5883","chromium","","VanillaJS Embedded Login Tests","","","should complete full embedded login and logout flow",""
"passed","Mon Aug 18 15:40:45 GMT 2025","Mon Aug 18 15:41:00 GMT 2025","14486","firefox","","Solana Next15 Turbopack Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 15:39:21 GMT 2025","Mon Aug 18 15:39:26 GMT 2025","4876","firefox","","Fastify Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 15:40:24 GMT 2025","Mon Aug 18 15:40:40 GMT 2025","15857","firefox","","Solana Next14 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 15:40:31 GMT 2025","Mon Aug 18 15:40:44 GMT 2025","13846","chromium","","Solana Next15 Turbopack Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 15:40:18 GMT 2025","Mon Aug 18 15:40:29 GMT 2025","10880","firefox","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 15:40:22 GMT 2025","Mon Aug 18 15:40:39 GMT 2025","17446","chromium","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 15:38:33 GMT 2025","Mon Aug 18 15:38:45 GMT 2025","11985","webkit","","Hono Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Mon Aug 18 15:40:21 GMT 2025","Mon Aug 18 15:40:38 GMT 2025","16956","chromium","","Solana Next14 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Aug 18 15:38:33 GMT 2025","Mon Aug 18 15:38:45 GMT 2025","12242","webkit","","Reactjs Login Tests","","","should complete full login and logout flow",""
"passed","Mon Aug 18 15:39:52 GMT 2025","Mon Aug 18 15:40:06 GMT 2025","13170","webkit","","Express Login Tests","","","should complete login flow and redirect to hello page",""
