"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 28 16:35:13 GMT 2025","Tue Oct 28 16:35:17 GMT 2025","4169","Firefox","Stale Session Handling","Civic Auth Applications","","","should reinitialize authentication when session is stale (>30 minutes)",""
"passed","Tue Oct 28 16:34:54 GMT 2025","Tue Oct 28 16:35:00 GMT 2025","6492","Firefox","Login","Civic Auth Applications","","","should complete login flow and redirect to hello page",""
"passed","Tue Oct 28 16:34:17 GMT 2025","Tue Oct 28 16:34:31 GMT 2025","14349","WebKit","Login SuccessUrl","Civic Auth Applications","","","should complete login flow and redirect to customSuccessRoute",""
"passed","Tue Oct 28 16:35:01 GMT 2025","Tue Oct 28 16:35:12 GMT 2025","10919","Chromium","Email","Civic Auth Applications","","","should complete email verification flow",""
"passed","Tue Oct 28 16:35:01 GMT 2025","Tue Oct 28 16:35:13 GMT 2025","11833","Firefox","Refresh Token","Civic Auth Applications","","","should handle refresh token flow correctly",""
"passed","Tue Oct 28 16:35:24 GMT 2025","Tue Oct 28 16:35:26 GMT 2025","1610","Chromium","onSignIn Callback","Civic Auth onSignIn Callback Tests","","","should handle onSignIn callback in Next.js middleware context",""
"passed","Tue Oct 28 16:34:45 GMT 2025","Tue Oct 28 16:34:49 GMT 2025","4598","Chromium","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"passed","Tue Oct 28 16:36:53 GMT 2025","Tue Oct 28 16:37:07 GMT 2025","13652","Firefox","Refresh Token","Civic Auth Applications","","","should handle refresh token flow correctly",""
"passed","Tue Oct 28 16:35:06 GMT 2025","Tue Oct 28 16:35:18 GMT 2025","11886","Firefox","Session Rehydration","Session Rehydration - VanillaJS","","","should rehydrate session via middleware on page reload",""
"passed","Tue Oct 28 16:36:39 GMT 2025","Tue Oct 28 16:36:43 GMT 2025","3437","WebKit","onSignIn Callback","Civic Auth onSignIn Callback Tests","","","should call onSignIn callback with error on failed sign-in",""
"passed","Tue Oct 28 16:36:24 GMT 2025","Tue Oct 28 16:36:31 GMT 2025","7571","WebKit","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"passed","Tue Oct 28 16:35:49 GMT 2025","Tue Oct 28 16:35:58 GMT 2025","8934","Chromium","Session Rehydration","Session Rehydration - NextJS","","","should rehydrate session via API call",""
"passed","Tue Oct 28 16:34:27 GMT 2025","Tue Oct 28 16:34:39 GMT 2025","11396","WebKit","Login SuccessUrl","Civic Auth Applications","","","should complete login flow and redirect to customSuccessRoute",""
"passed","Tue Oct 28 16:37:47 GMT 2025","Tue Oct 28 16:38:01 GMT 2025","13426","WebKit","onSignIn Callback","Civic Auth onSignIn Callback Tests","","","should call useUser onSignIn callback on successful sign-in",""
"passed","Tue Oct 28 16:36:07 GMT 2025","Tue Oct 28 16:36:20 GMT 2025","12860","WebKit","Refresh Token","Civic Auth Applications","","","should handle refresh token flow correctly in modal mode",""
"passed","Tue Oct 28 16:34:44 GMT 2025","Tue Oct 28 16:34:53 GMT 2025","8469","Chromium","onSignIn Callback","Civic Auth onSignIn Callback Tests","","","should call onSignIn callback and handle sign-out correctly",""
"passed","Tue Oct 28 16:35:20 GMT 2025","Tue Oct 28 16:35:35 GMT 2025","14946","WebKit","Session Rehydration","Session Rehydration - VanillaJS","","","should rehydrate session via middleware on page reload",""
"passed","Tue Oct 28 16:38:08 GMT 2025","Tue Oct 28 16:38:28 GMT 2025","19966","WebKit","onSignIn Callback","Civic Auth onSignIn Callback Tests","","","should call useUser onSignIn callback and handle sign-out correctly",""
"passed","Tue Oct 28 16:34:28 GMT 2025","Tue Oct 28 16:34:39 GMT 2025","10916","Chromium","Refresh Token","Civic Auth Applications","","","should handle refresh token flow correctly in modal mode",""
"passed","Tue Oct 28 16:36:35 GMT 2025","Tue Oct 28 16:36:48 GMT 2025","12783","Firefox","onSignIn Callback","Civic Auth onSignIn Callback Tests","","","should call useUser onSignIn callback and handle sign-out correctly",""
"broken","Tue Oct 28 16:36:03 GMT 2025","Tue Oct 28 16:36:34 GMT 2025","31006","Firefox","onSignIn Callback","Civic Auth onSignIn Callback Tests","","","should call onSignIn callback on successful sign-in",""
"passed","Tue Oct 28 16:38:29 GMT 2025","Tue Oct 28 16:38:37 GMT 2025","8404","WebKit","Stale Session Handling","Civic Auth Applications","","","should reinitialize authentication when session is stale (>30 minutes)",""
"passed","Tue Oct 28 16:36:04 GMT 2025","Tue Oct 28 16:36:15 GMT 2025","11043","Firefox","Email","Civic Auth Applications","","","should complete email verification flow",""
"passed","Tue Oct 28 16:35:01 GMT 2025","Tue Oct 28 16:35:13 GMT 2025","11597","Chromium","onSignIn Callback","Civic Auth onSignIn Callback Tests","","","should call useUser onSignIn callback on successful sign-in",""
"passed","Tue Oct 28 16:37:11 GMT 2025","Tue Oct 28 16:37:33 GMT 2025","22181","WebKit","Email","Civic Auth Applications","","","should complete email verification flow",""
"passed","Tue Oct 28 16:44:34 GMT 2025","Tue Oct 28 16:44:40 GMT 2025","6047","Chromium","Login","Civic Auth Applications","","","should complete login flow and redirect to hello page",""
"passed","Tue Oct 28 16:34:55 GMT 2025","Tue Oct 28 16:35:04 GMT 2025","8485","Firefox","Login","Civic Auth Applications","","","should complete full embedded login and logout flow",""
"passed","Tue Oct 28 16:35:25 GMT 2025","Tue Oct 28 16:35:32 GMT 2025","6300","Chromium","Login SuccessUrl","Civic Auth Applications","","","should complete login flow and redirect to customSuccessRoute",""
"failed","Tue Oct 28 16:35:31 GMT 2025","Tue Oct 28 16:36:07 GMT 2025","36077","WebKit","Login SuccessUrl","Civic Auth Applications","","","should complete login flow and redirect to customSuccessRoute",""
"passed","Tue Oct 28 16:35:05 GMT 2025","Tue Oct 28 16:35:17 GMT 2025","11872","Firefox","Session Rehydration","Session Rehydration - VanillaJS","","","should rehydrate session via API call",""
"passed","Tue Oct 28 16:36:15 GMT 2025","Tue Oct 28 16:36:25 GMT 2025","10020","Firefox","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"passed","Tue Oct 28 16:34:44 GMT 2025","Tue Oct 28 16:34:50 GMT 2025","5933","Chromium","onSignIn Callback","Civic Auth onSignIn Callback Tests","","","should call onSignIn callback on successful sign-in",""
"passed","Tue Oct 28 16:37:52 GMT 2025","Tue Oct 28 16:37:55 GMT 2025","3531","WebKit","onSignIn Callback","Civic Auth onSignIn Callback Tests","","","should handle onSignIn callback in Next.js middleware context",""
"passed","Tue Oct 28 16:37:00 GMT 2025","Tue Oct 28 16:37:11 GMT 2025","10478","Firefox","Session Rehydration","Session Rehydration - NextJS","","","should rehydrate session via API call",""
"passed","Tue Oct 28 16:35:02 GMT 2025","Tue Oct 28 16:35:08 GMT 2025","5565","Chromium","Login SuccessUrl","Civic Auth Applications","","","should complete login flow and redirect to customSuccessRoute",""
"passed","Tue Oct 28 16:34:53 GMT 2025","Tue Oct 28 16:35:00 GMT 2025","7309","Chromium","Login","Civic Auth Applications","","","should complete full embedded login and logout flow",""
"passed","Tue Oct 28 16:36:31 GMT 2025","Tue Oct 28 16:36:44 GMT 2025","12890","WebKit","onSignIn Callback","Civic Auth onSignIn Callback Tests","","","should call onSignIn callback and handle sign-out correctly",""
"passed","Tue Oct 28 16:35:33 GMT 2025","Tue Oct 28 16:35:45 GMT 2025","12341","WebKit","Session Rehydration","Session Rehydration - VanillaJS","","","should rehydrate session via API call",""
"passed","Tue Oct 28 16:37:37 GMT 2025","Tue Oct 28 16:37:51 GMT 2025","14763","WebKit","onSignIn Callback","Civic Auth onSignIn Callback Tests","","","should maintain callback state across page interactions",""
"passed","Tue Oct 28 16:35:18 GMT 2025","Tue Oct 28 16:35:32 GMT 2025","14327","WebKit","Login","Civic Auth Applications","","","should complete full embedded login and logout flow",""
