"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11536","should complete login flow and redirect to hello page","Firefox","Thu Nov 13 16:36:33 UTC 2025","passed","Thu Nov 13 16:36:45 UTC 2025","Civic Auth Applications","Login","",""
"","6674","should complete full modal login and logout flow","Chromium","Thu Nov 13 16:37:08 UTC 2025","passed","Thu Nov 13 16:37:15 UTC 2025","Civic Auth Applications","Login","",""
"","10478","should handle refresh token flow correctly in modal mode","Firefox","Thu Nov 13 16:36:46 UTC 2025","passed","Thu Nov 13 16:36:56 UTC 2025","Civic Auth Applications","Refresh Token","",""
"","10022","should maintain callback state across page interactions","Chromium","Thu Nov 13 16:37:26 UTC 2025","passed","Thu Nov 13 16:37:36 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","7347","should complete login flow and redirect to customSuccessRoute","WebKit","Thu Nov 13 16:37:52 UTC 2025","passed","Thu Nov 13 16:37:59 UTC 2025","Civic Auth Applications","Login SuccessUrl","",""
"","13233","should complete login flow and redirect to hello page","WebKit","Thu Nov 13 16:36:33 UTC 2025","passed","Thu Nov 13 16:36:46 UTC 2025","Civic Auth Applications","Login","",""
"","8028","should handle refresh token flow correctly","Firefox","Thu Nov 13 16:37:28 UTC 2025","passed","Thu Nov 13 16:37:36 UTC 2025","Civic Auth Applications","Refresh Token","",""
"","15959","should call useUser onSignIn callback on successful sign-in","WebKit","Thu Nov 13 16:40:10 UTC 2025","passed","Thu Nov 13 16:40:26 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","8212","should rehydrate session via middleware on page reload","Firefox","Thu Nov 13 16:37:36 UTC 2025","passed","Thu Nov 13 16:37:44 UTC 2025","Session Rehydration - VanillaJS","Session Rehydration","",""
"","10954","should complete full login and logout flow","Chromium","Thu Nov 13 16:37:15 UTC 2025","passed","Thu Nov 13 16:37:25 UTC 2025","Civic Auth Applications","Login","",""
"","11084","should handle refresh token flow correctly","Firefox","Thu Nov 13 16:39:39 UTC 2025","passed","Thu Nov 13 16:39:50 UTC 2025","Civic Auth Applications","Refresh Token","",""
"","6318","should maintain callback state across page interactions","Chromium","Thu Nov 13 16:37:23 UTC 2025","passed","Thu Nov 13 16:37:29 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","33540","should rehydrate session via middleware on page reload","Chromium","Thu Nov 13 16:37:41 UTC 2025","failed","Thu Nov 13 16:38:14 UTC 2025","Session Rehydration - VanillaJS","Session Rehydration","",""
"","5696","should complete full embedded login and logout flow","Chromium","Thu Nov 13 16:37:02 UTC 2025","passed","Thu Nov 13 16:37:08 UTC 2025","Civic Auth Applications","Login","",""
"","6584","should maintain callback state across page interactions","Firefox","Thu Nov 13 16:38:42 UTC 2025","passed","Thu Nov 13 16:38:48 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","10834","should call onSignIn callback on successful sign-in","WebKit","Thu Nov 13 16:37:47 UTC 2025","passed","Thu Nov 13 16:37:58 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","10471","should rehydrate session via middleware on page reload","WebKit","Thu Nov 13 16:38:08 UTC 2025","passed","Thu Nov 13 16:38:19 UTC 2025","Session Rehydration - VanillaJS","Session Rehydration","",""
"","9090","should rehydrate session via API call","Firefox","Thu Nov 13 16:37:44 UTC 2025","passed","Thu Nov 13 16:37:53 UTC 2025","Session Rehydration - VanillaJS","Session Rehydration","",""
"","12702","should complete full login and logout flow","WebKit","Thu Nov 13 16:41:15 UTC 2025","passed","Thu Nov 13 16:41:28 UTC 2025","Civic Auth Applications","Login","",""
"","7202","should complete login flow and redirect to customSuccessRoute","Chromium","Thu Nov 13 16:36:37 UTC 2025","passed","Thu Nov 13 16:36:45 UTC 2025","Civic Auth Applications","Login SuccessUrl","",""
"","8577","should maintain callback state across page interactions","WebKit","Thu Nov 13 16:39:06 UTC 2025","passed","Thu Nov 13 16:39:14 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","16556","should rehydrate session via middleware on page reload","WebKit","Thu Nov 13 16:41:50 UTC 2025","passed","Thu Nov 13 16:42:07 UTC 2025","Session Rehydration - NextJS","Session Rehydration","",""
"","9942","should maintain callback state across page interactions","Firefox","Thu Nov 13 16:39:32 UTC 2025","passed","Thu Nov 13 16:39:42 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","10352","should handle refresh token flow correctly","Chromium","Thu Nov 13 16:38:42 UTC 2025","passed","Thu Nov 13 16:38:52 UTC 2025","Civic Auth Applications","Refresh Token","",""
"","10711","should rehydrate session via API call","WebKit","Thu Nov 13 16:39:24 UTC 2025","passed","Thu Nov 13 16:39:35 UTC 2025","Session Rehydration - VanillaJS","Session Rehydration","",""
"","3975","should reinitialize authentication when session is stale (>30 minutes)","Firefox","Thu Nov 13 16:37:53 UTC 2025","passed","Thu Nov 13 16:37:57 UTC 2025","Civic Auth Applications","Stale Session Handling","",""
"","1804","should call onSignIn callback with error on failed sign-in","Chromium","Thu Nov 13 16:37:25 UTC 2025","passed","Thu Nov 13 16:37:27 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","4554","should reinitialize authentication when session is stale (>30 minutes)","Chromium","Thu Nov 13 16:38:22 UTC 2025","passed","Thu Nov 13 16:38:27 UTC 2025","Civic Auth Applications","Stale Session Handling","",""
"","12097","should call onSignIn callback and handle sign-out correctly","WebKit","Thu Nov 13 16:37:57 UTC 2025","passed","Thu Nov 13 16:38:09 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","35122","should complete login flow and redirect to customSuccessRoute","Firefox","Thu Nov 13 16:37:52 UTC 2025","failed","Thu Nov 13 16:38:27 UTC 2025","Civic Auth Applications","Login SuccessUrl","",""
"","16892","should complete email verification flow","WebKit","Thu Nov 13 16:39:52 UTC 2025","passed","Thu Nov 13 16:40:09 UTC 2025","Civic Auth Applications","Email","",""
"","9928","should handle refresh token flow correctly","WebKit","Thu Nov 13 16:38:05 UTC 2025","passed","Thu Nov 13 16:38:14 UTC 2025","Civic Auth Applications","Refresh Token","",""
"","13157","should complete full modal login and logout flow","WebKit","Thu Nov 13 16:36:58 UTC 2025","passed","Thu Nov 13 16:37:11 UTC 2025","Civic Auth Applications","Login","",""
"","12081","should call useUser onSignIn callback and handle sign-out correctly","Firefox","Thu Nov 13 16:39:25 UTC 2025","passed","Thu Nov 13 16:39:37 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","1810","should handle onSignIn callback in Next.js middleware context","Firefox","Thu Nov 13 16:39:37 UTC 2025","passed","Thu Nov 13 16:39:39 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","13136","should rehydrate session via API call","Firefox","Thu Nov 13 16:41:04 UTC 2025","passed","Thu Nov 13 16:41:17 UTC 2025","Session Rehydration - NextJS","Session Rehydration","",""
"","4849","should complete full embedded login and logout flow","Firefox","Thu Nov 13 16:37:22 UTC 2025","passed","Thu Nov 13 16:37:27 UTC 2025","Civic Auth Applications","Login","",""
"","36425","should rehydrate session via API call","Chromium","Thu Nov 13 16:38:50 UTC 2025","failed","Thu Nov 13 16:39:26 UTC 2025","Session Rehydration - NextJS","Session Rehydration","",""
"","8422","should reinitialize authentication when session is stale (>30 minutes)","WebKit","Thu Nov 13 16:42:17 UTC 2025","passed","Thu Nov 13 16:42:25 UTC 2025","Civic Auth Applications","Stale Session Handling","",""
"","9386","should complete login flow and redirect to customSuccessRoute","Chromium","Thu Nov 13 16:36:33 UTC 2025","passed","Thu Nov 13 16:36:43 UTC 2025","Civic Auth Applications","Login SuccessUrl","",""
"","2601","should call onSignIn callback with error on failed sign-in","WebKit","Thu Nov 13 16:37:58 UTC 2025","passed","Thu Nov 13 16:38:01 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","10246","should rehydrate session via middleware on page reload","Chromium","Thu Nov 13 16:38:12 UTC 2025","passed","Thu Nov 13 16:38:22 UTC 2025","Session Rehydration - NextJS","Session Rehydration","",""
"","6330","should call onSignIn callback on successful sign-in","Chromium","Thu Nov 13 16:37:08 UTC 2025","passed","Thu Nov 13 16:37:14 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","34067","should complete login flow and redirect to hello page","Chromium","Thu Nov 13 16:37:50 UTC 2025","failed","Thu Nov 13 16:38:24 UTC 2025","Civic Auth Applications","Login","",""
"","11368","should complete full login and logout flow","Firefox","Thu Nov 13 16:39:14 UTC 2025","passed","Thu Nov 13 16:39:25 UTC 2025","Civic Auth Applications","Login","",""
"","33409","should complete login flow and redirect to customSuccessRoute","Chromium","Thu Nov 13 16:37:33 UTC 2025","failed","Thu Nov 13 16:38:06 UTC 2025","Civic Auth Applications","Login SuccessUrl","",""
"","9578","should complete email verification flow","Firefox","Thu Nov 13 16:38:27 UTC 2025","passed","Thu Nov 13 16:38:37 UTC 2025","Civic Auth Applications","Email","",""
"","11201","should rehydrate session via middleware on page reload","Firefox","Thu Nov 13 16:39:39 UTC 2025","passed","Thu Nov 13 16:39:51 UTC 2025","Session Rehydration - NextJS","Session Rehydration","",""
"","34849","should complete login flow and redirect to hello page","Firefox","Thu Nov 13 16:37:57 UTC 2025","failed","Thu Nov 13 16:38:32 UTC 2025","Civic Auth Applications","Login","",""
"","5249","should complete login flow and redirect to hello page","Chromium","Thu Nov 13 16:37:15 UTC 2025","passed","Thu Nov 13 16:37:20 UTC 2025","Civic Auth Applications","Login","",""
"","15871","should call useUser onSignIn callback and handle sign-out correctly","WebKit","Thu Nov 13 16:41:34 UTC 2025","passed","Thu Nov 13 16:41:50 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","7951","should call onSignIn callback and handle sign-out correctly","Firefox","Thu Nov 13 16:37:26 UTC 2025","passed","Thu Nov 13 16:37:34 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","11043","should call useUser onSignIn callback and handle sign-out correctly","Chromium","Thu Nov 13 16:37:24 UTC 2025","passed","Thu Nov 13 16:37:35 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","1678","should handle onSignIn callback in Next.js middleware context","Chromium","Thu Nov 13 16:37:27 UTC 2025","passed","Thu Nov 13 16:37:29 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","5567","should complete login flow and redirect to customSuccessRoute","Firefox","Thu Nov 13 16:37:16 UTC 2025","passed","Thu Nov 13 16:37:22 UTC 2025","Civic Auth Applications","Login SuccessUrl","",""
