"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Civic Auth Applications","0","Express Login","3","0","","0"
"0","Civic Auth Applications","0","VanillaJS Embedded Login","6","0","","0"
"0","Civic Auth Applications","0","VanillaJS Modal Refresh Token Flow","3","0","","0"
"0","Civic Auth Applications","0","Next.js onSignIn Callback","15","0","","0"
"0","Civic Auth Applications","1","Hono Login (LoginSuccessUrl)","2","0","","0"
"1","Civic Auth Applications","0","VanillaJS Refresh Token Flow","2","0","","0"
"0","Civic Auth Applications","1","VanillaJS Session Rehydration","5","0","","0"
"0","Civic Auth Applications","0","Next.js Login","3","0","","0"
"0","Civic Auth Applications","1","Next.js Refresh Token Flow","2","0","","0"
"0","Civic Auth Applications","0","React.js onSignIn Callback","12","0","","0"
"0","Civic Auth Applications","0","Fastify Login (LoginSuccessUrl)","3","0","","0"
"0","Civic Auth Applications","1","NextJS Session Rehydration","5","0","","0"
"0","Civic Auth Applications","0","VanillaJS Stale Session Reinitialization","3","0","","0"
"0","Civic Auth Applications","0","Next.js Stale Session Reinitialization","3","0","","0"
"0","Civic Auth Applications","0","Next.js Email Verification","3","0","Next.js Email Code Verification Flow","0"
"0","Civic Auth Applications","2","Hono Login","1","0","","0"
"0","Civic Auth Applications","1","Express Login (LoginSuccessUrl)","2","0","","0"
"0","Civic Auth Applications","0","Fastify Login","3","0","","0"
"0","Civic Auth Applications","0","React.js Login","3","0","","0"
