"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13838","should complete full login and logout flow","WebKit","Thu Nov 13 00:21:14 UTC 2025","passed","Thu Nov 13 00:21:27 UTC 2025","Civic Auth Applications","Login","",""
"","11037","should call useUser onSignIn callback on successful sign-in","Chromium","Thu Nov 13 00:21:37 UTC 2025","passed","Thu Nov 13 00:21:48 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","11432","should complete email verification flow","Firefox","Thu Nov 13 00:22:07 UTC 2025","passed","Thu Nov 13 00:22:19 UTC 2025","Civic Auth Applications","Email","",""
"","13214","should complete full login and logout flow","Firefox","Thu Nov 13 00:22:08 UTC 2025","passed","Thu Nov 13 00:22:21 UTC 2025","Civic Auth Applications","Login","",""
"","9350","should complete login flow and redirect to customSuccessRoute","Firefox","Thu Nov 13 00:21:05 UTC 2025","passed","Thu Nov 13 00:21:14 UTC 2025","Civic Auth Applications","Login SuccessUrl","",""
"","10449","should complete login flow and redirect to customSuccessRoute","Chromium","Thu Nov 13 00:20:44 UTC 2025","passed","Thu Nov 13 00:20:55 UTC 2025","Civic Auth Applications","Login SuccessUrl","",""
"","1554","should call onSignIn callback with error on failed sign-in","Chromium","Thu Nov 13 00:20:58 UTC 2025","passed","Thu Nov 13 00:20:59 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","12453","should handle refresh token flow correctly","Firefox","Thu Nov 13 00:21:11 UTC 2025","passed","Thu Nov 13 00:21:23 UTC 2025","Civic Auth Applications","Refresh Token","",""
"","15921","should rehydrate session via middleware on page reload","WebKit","Thu Nov 13 00:23:22 UTC 2025","passed","Thu Nov 13 00:23:38 UTC 2025","Session Rehydration - NextJS","Session Rehydration","",""
"","2670","should call onSignIn callback with error on failed sign-in","Firefox","Thu Nov 13 00:22:22 UTC 2025","passed","Thu Nov 13 00:22:25 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","16121","should handle refresh token flow correctly","WebKit","Thu Nov 13 00:21:28 UTC 2025","passed","Thu Nov 13 00:21:44 UTC 2025","Civic Auth Applications","Refresh Token","",""
"","7319","should reinitialize authentication when session is stale (>30 minutes)","WebKit","Thu Nov 13 00:23:27 UTC 2025","passed","Thu Nov 13 00:23:35 UTC 2025","Civic Auth Applications","Stale Session Handling","",""
"","8812","should complete login flow and redirect to hello page","Firefox","Thu Nov 13 00:20:46 UTC 2025","passed","Thu Nov 13 00:20:55 UTC 2025","Civic Auth Applications","Login","",""
"","7583","should maintain callback state across page interactions","Firefox","Thu Nov 13 00:21:11 UTC 2025","passed","Thu Nov 13 00:21:19 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","19297","should call useUser onSignIn callback on successful sign-in","WebKit","Thu Nov 13 00:22:45 UTC 2025","passed","Thu Nov 13 00:23:05 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","11160","should rehydrate session via API call","Firefox","Thu Nov 13 00:21:16 UTC 2025","passed","Thu Nov 13 00:21:27 UTC 2025","Session Rehydration - VanillaJS","Session Rehydration","",""
"","10986","should call useUser onSignIn callback and handle sign-out correctly","Chromium","Thu Nov 13 00:21:47 UTC 2025","passed","Thu Nov 13 00:21:58 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","9032","should call onSignIn callback on successful sign-in","Firefox","Thu Nov 13 00:21:02 UTC 2025","passed","Thu Nov 13 00:21:11 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","12757","should rehydrate session via middleware on page reload","WebKit","Thu Nov 13 00:21:30 UTC 2025","passed","Thu Nov 13 00:21:43 UTC 2025","Session Rehydration - VanillaJS","Session Rehydration","",""
"","11335","should rehydrate session via middleware on page reload","Firefox","Thu Nov 13 00:22:31 UTC 2025","passed","Thu Nov 13 00:22:43 UTC 2025","Session Rehydration - NextJS","Session Rehydration","",""
"","4917","should reinitialize authentication when session is stale (>30 minutes)","WebKit","Thu Nov 13 00:21:43 UTC 2025","passed","Thu Nov 13 00:21:48 UTC 2025","Civic Auth Applications","Stale Session Handling","",""
"","14574","should rehydrate session via middleware on page reload","Chromium","Thu Nov 13 00:20:52 UTC 2025","passed","Thu Nov 13 00:21:07 UTC 2025","Session Rehydration - VanillaJS","Session Rehydration","",""
"","12377","should call useUser onSignIn callback on successful sign-in","Firefox","Thu Nov 13 00:22:09 UTC 2025","passed","Thu Nov 13 00:22:22 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","7646","should complete login flow and redirect to customSuccessRoute","Chromium","Thu Nov 13 00:20:53 UTC 2025","passed","Thu Nov 13 00:21:01 UTC 2025","Civic Auth Applications","Login SuccessUrl","",""
"","15199","should complete login flow and redirect to customSuccessRoute","WebKit","Thu Nov 13 00:20:44 UTC 2025","passed","Thu Nov 13 00:20:59 UTC 2025","Civic Auth Applications","Login SuccessUrl","",""
"","11579","should complete full embedded login and logout flow","WebKit","Thu Nov 13 00:21:27 UTC 2025","passed","Thu Nov 13 00:21:39 UTC 2025","Civic Auth Applications","Login","",""
"","19621","should complete email verification flow","WebKit","Thu Nov 13 00:22:44 UTC 2025","passed","Thu Nov 13 00:23:04 UTC 2025","Civic Auth Applications","Email","",""
"","5778","should reinitialize authentication when session is stale (>30 minutes)","Firefox","Thu Nov 13 00:22:38 UTC 2025","passed","Thu Nov 13 00:22:43 UTC 2025","Civic Auth Applications","Stale Session Handling","",""
"","13892","should handle refresh token flow correctly in modal mode","Firefox","Thu Nov 13 00:20:54 UTC 2025","passed","Thu Nov 13 00:21:08 UTC 2025","Civic Auth Applications","Refresh Token","",""
"","4065","should reinitialize authentication when session is stale (>30 minutes)","Chromium","Thu Nov 13 00:21:06 UTC 2025","passed","Thu Nov 13 00:21:10 UTC 2025","Civic Auth Applications","Stale Session Handling","",""
"","1872","should handle onSignIn callback in Next.js middleware context","Chromium","Thu Nov 13 00:21:49 UTC 2025","passed","Thu Nov 13 00:21:51 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","11789","should rehydrate session via middleware on page reload","Firefox","Thu Nov 13 00:21:13 UTC 2025","passed","Thu Nov 13 00:21:25 UTC 2025","Session Rehydration - VanillaJS","Session Rehydration","",""
"","1995","should handle onSignIn callback in Next.js middleware context","Firefox","Thu Nov 13 00:22:25 UTC 2025","passed","Thu Nov 13 00:22:27 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
