"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 23 22:47:28 GMT 2025","Tue Sep 23 22:47:49 GMT 2025","20069","WebKit","","Solana Next.js 15 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"passed","Tue Sep 23 22:46:08 GMT 2025","Tue Sep 23 22:46:17 GMT 2025","9224","Chromium","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Tue Sep 23 22:46:36 GMT 2025","Tue Sep 23 22:46:49 GMT 2025","12750","Firefox","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"passed","Tue Sep 23 22:45:51 GMT 2025","Tue Sep 23 22:46:06 GMT 2025","14225","Firefox","","Solana Next.js 15 Turbopack Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"passed","Tue Sep 23 22:47:29 GMT 2025","Tue Sep 23 22:47:42 GMT 2025","13030","Chromium","Email","Civic Auth Applications","","","should complete email verification flow",""
"passed","Tue Sep 23 22:47:10 GMT 2025","Tue Sep 23 22:47:24 GMT 2025","14056","WebKit","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"passed","Tue Sep 23 22:45:50 GMT 2025","Tue Sep 23 22:46:05 GMT 2025","15076","Chromium","Email","Civic Auth Applications","","","should complete email verification flow",""
"passed","Tue Sep 23 22:46:20 GMT 2025","Tue Sep 23 22:46:35 GMT 2025","15432","Firefox","Email","Civic Auth Applications","","","should complete email verification flow",""
"passed","Tue Sep 23 22:48:26 GMT 2025","Tue Sep 23 22:48:47 GMT 2025","20735","WebKit","Email","Civic Auth Applications","","","should complete email verification flow",""
"passed","Tue Sep 23 22:47:06 GMT 2025","Tue Sep 23 22:47:19 GMT 2025","12889","Firefox","","Solana Next.js 15 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"passed","Tue Sep 23 22:48:01 GMT 2025","Tue Sep 23 22:48:15 GMT 2025","13519","Firefox","","Solana Next.js 14 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"passed","Tue Sep 23 22:47:19 GMT 2025","Tue Sep 23 22:47:27 GMT 2025","8287","Firefox","","Solana Next15 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Tue Sep 23 22:47:43 GMT 2025","Tue Sep 23 22:47:57 GMT 2025","13352","Web3 Start Mode","Solana Applications","Next.js 14 No Wallet Adapter","","","should complete full login and logout flow",""
"passed","Tue Sep 23 22:47:03 GMT 2025","Tue Sep 23 22:47:16 GMT 2025","12974","Chromium","Email","Civic Auth Applications","","","should complete email verification flow",""
"passed","Tue Sep 23 22:46:35 GMT 2025","Tue Sep 23 22:46:43 GMT 2025","8204","WebKit","","Solana Next15 Turbopack Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Tue Sep 23 22:46:50 GMT 2025","Tue Sep 23 22:47:09 GMT 2025","18975","WebKit","Email","Civic Auth Applications","","","should complete email verification flow",""
"passed","Tue Sep 23 22:46:44 GMT 2025","Tue Sep 23 22:46:56 GMT 2025","12473","Chromium","","Solana Next.js 15 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"passed","Tue Sep 23 22:48:25 GMT 2025","Tue Sep 23 22:48:46 GMT 2025","20935","WebKit","","Solana Next.js 14 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"passed","Tue Sep 23 22:45:26 GMT 2025","Tue Sep 23 22:45:41 GMT 2025","14399","Chromium","","Solana Next.js 15 Turbopack Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"passed","Tue Sep 23 22:48:48 GMT 2025","Tue Sep 23 22:49:01 GMT 2025","13497","Web3 Start Mode","Solana Applications","Next.js 14 No Wallet Adapter","","","should complete full login and logout flow",""
"passed","Tue Sep 23 22:46:06 GMT 2025","Tue Sep 23 22:46:19 GMT 2025","13628","Chromium","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"passed","Tue Sep 23 22:47:57 GMT 2025","Tue Sep 23 22:48:12 GMT 2025","14213","Firefox","Email","Civic Auth Applications","","","should complete email verification flow",""
"passed","Tue Sep 23 22:47:16 GMT 2025","Tue Sep 23 22:47:29 GMT 2025","12903","Chromium","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"passed","Tue Sep 23 22:50:33 GMT 2025","Tue Sep 23 22:50:48 GMT 2025","15271","WebKit","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"passed","Tue Sep 23 22:46:06 GMT 2025","Tue Sep 23 22:46:14 GMT 2025","7678","Firefox","","Solana Next15 Turbopack Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Tue Sep 23 22:47:36 GMT 2025","Tue Sep 23 22:47:47 GMT 2025","11368","Chromium","","Solana Next.js 14 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"passed","Tue Sep 23 22:46:20 GMT 2025","Tue Sep 23 22:46:32 GMT 2025","12179","Firefox","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Tue Sep 23 22:45:42 GMT 2025","Tue Sep 23 22:45:51 GMT 2025","9025","Chromium","","Solana Next15 Turbopack Wallet Adapter Login Tests","","","should complete login flow and show balance",""
